# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1292541620015000000,0.000002868,0.000023494,-0.000028654,-0.268118293,-0.940414377,9.746568622
1292541620020000000,0.000001335,0.000022497,-0.000013379,-0.267886492,-0.940517555,9.746564997
1292541620025000000,-0.000000198,0.000021499,0.000001895,-0.267654692,-0.940620732,9.746561372
1292541620030000000,-0.000001731,0.000020501,0.000017170,-0.267422891,-0.940723910,9.746557747
1292541620034999999,-0.000003264,0.000019503,0.000032444,-0.267191091,-0.940827087,9.746554122
1292541620039999999,-0.000004797,0.000018506,0.000047719,-0.266959290,-0.940930265,9.746550496
1292541620044999999,-0.000006330,0.000017508,0.000062993,-0.266727490,-0.941033442,9.746546871
1292541620049999999,-0.000007863,0.000016510,0.000078268,-0.266495690,-0.941136619,9.746543246
1292541620054999999,-0.000009396,0.000015512,0.000093542,-0.266263889,-0.941239797,9.746539621
1292541620059999999,-0.000010929,0.000014515,0.000108817,-0.266032089,-0.941342974,9.746535995
1292541620065000000,-0.000012462,0.000013517,0.000124091,-0.265800288,-0.941446152,9.746532370
1292541620070000000,-0.000013995,0.000012519,0.000139366,-0.265568488,-0.941549329,9.746528745
1292541620075000000,-0.000015528,0.000011521,0.000154640,-0.265336687,-0.941652507,9.746525120
1292541620080000000,-0.000017061,0.000010524,0.000169915,-0.265104887,-0.941755684,9.746521495
1292541620085000000,-0.000018594,0.000009526,0.000185189,-0.264873086,-0.941858862,9.746517869
1292541620090000000,-0.000020127,0.000008528,0.000200464,-0.264641286,-0.941962039,9.746514244
1292541620094999999,-0.000021660,0.000007530,0.000215738,-0.264409486,-0.942065216,9.746510619
1292541620099999999,-0.000023193,0.000006533,0.000231013,-0.264177685,-0.942168394,9.746506994
1292541620104999999,-0.000022033,0.000006206,0.000219462,-0.264200835,-0.942161869,9.746506996
1292541620109999999,-0.000020873,0.000005879,0.000207911,-0.264223985,-0.942155344,9.746506998
1292541620114999999,-0.000019714,0.000005552,0.000196361,-0.264247135,-0.942148819,9.746507000
1292541620119999999,-0.000018554,0.000005225,0.000184810,-0.264270285,-0.942142294,9.746507002
1292541620125000000,-0.000017394,0.000004899,0.000173260,-0.264293435,-0.942135769,9.746507005
1292541620130000000,-0.000016235,0.000004572,0.000161709,-0.264316585,-0.942129244,9.746507007
1292541620135000000,-0.000015075,0.000004245,0.000150159,-0.264339736,-0.942122719,9.746507009
1292541620140000000,-0.000013916,0.000003918,0.000138608,-0.264362886,-0.942116194,9.746507011
1292541620145000000,-0.000012756,0.000003591,0.000127057,-0.264386036,-0.942109669,9.746507013
1292541620150000000,-0.000011596,0.000003265,0.000115507,-0.264409186,-0.942103144,9.746507015
1292541620155000000,-0.000010437,0.000002938,0.000103956,-0.264432336,-0.942096619,9.746507017
1292541620159999999,-0.000009277,0.000002611,0.000092406,-0.264455486,-0.942090094,9.746507020
1292541620164999999,-0.000008117,0.000002284,0.000080855,-0.264478636,-0.942083569,9.746507022
1292541620169999999,-0.000006958,0.000001958,0.000069305,-0.264501786,-0.942077044,9.746507024
1292541620174999999,-0.000005798,0.000001631,0.000057754,-0.264524936,-0.942070519,9.746507026
1292541620179999999,-0.000004639,0.000001304,0.000046204,-0.264548086,-0.942063994,9.746507028
1292541620184999999,-0.000003479,0.000000977,0.000034653,-0.264571236,-0.942057469,9.746507030
1292541620190000000,-0.000002319,0.000000650,0.000023102,-0.264594386,-0.942050944,9.746507033
1292541620195000000,-0.000001160,0.000000324,0.000011552,-0.264617536,-0.942044419,9.746507035
1292541620200000000,-0.000000000,-0.000000003,0.000000001,-0.264640686,-0.942037894,9.746507037
1292541620205000000,0.000000780,-0.000001649,-0.000007769,-0.264656381,-0.942004830,9.746509806
1292541620210000000,0.000001560,-0.000003296,-0.000015539,-0.264672075,-0.941971767,9.746512576
1292541620215000000,0.000002340,-0.000004942,-0.000023309,-0.264687770,-0.941938703,9.746515346
1292541620219999999,0.000003120,-0.000006588,-0.000031079,-0.264703464,-0.941905639,9.746518115
