# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1553744068155755000,0.018598090,-0.051345486,-0.027777778,-0.220489502,-0.246124268,8.819885254
1553744068165755000,0.012510851,-0.024902344,-0.025444878,0.081481934,0.062713623,10.083923340
1553744068175754999,-0.006022135,-0.007812500,-0.029752604,0.301361084,0.153350830,10.675506592
1553744068185754999,-0.006184896,-0.062771267,-0.028819444,0.290832520,-0.781860352,10.018920898
1553744068195754999,0.012358941,-0.033344184,-0.026519097,0.727996826,-1.440429688,8.631591797
1553744068205755000,0.024012587,0.009526910,-0.024891493,1.265106201,-1.006469727,8.193511963
1553744068215755000,0.035253906,0.008832465,-0.022189670,0.979919434,-0.957946777,8.031005859
1553744068225755000,0.031835938,0.027615017,-0.015907118,0.179748535,-0.272979736,8.148956299
1553744068235754999,0.024251302,-0.001204427,-0.016297743,-0.741424561,0.437469482,10.406188965
1553744068245754999,0.007845052,-0.022612847,-0.023057726,-0.092010498,-0.021972656,10.694885254
1553744068255754999,-0.001388889,-0.007508681,-0.031032986,0.490722656,-0.036163330,9.201202393
1553744068265755000,-0.012999132,0.003982205,-0.027430556,0.466613770,-0.106048584,9.696350098
1553744068275755000,-0.017469618,0.011263021,-0.021516927,0.717926025,-0.163879395,10.610198975
1553744068285755000,-0.020724826,0.005783420,-0.025151910,0.504150391,-0.411071777,11.240081787
1553744068295755000,-0.021603733,0.002929688,-0.027105035,0.437774658,-0.442047119,10.880584717
1553744068305754999,-0.027387153,0.008322483,-0.028819444,0.919494629,-0.269012451,10.505065918
1553744068315754999,-0.039236111,0.047547743,-0.028786892,1.556396484,-0.148010254,9.582214355
1553744068325754999,-0.035015191,0.075846354,-0.025010851,1.111907959,-0.647125244,10.652160645
1553744068335755000,-0.029329427,0.060687934,-0.018815104,0.490875244,-0.990447998,11.154479980
1553744068345755000,-0.022927517,0.013921441,-0.019140625,-0.459442139,-0.369720459,10.156402588
1553744068355755000,-0.030826823,0.038715278,-0.025227865,-0.569763184,-0.620117188,9.485321045
1553744068365754999,-0.020529514,0.040190972,-0.031195747,-0.536651611,-0.521240234,8.787994385
